,SMILES,InChIKey,inchi_connectivity,pchembl_value_Mean,Year
45,Cc1ccc(Oc2ccc3C4=C(C#N)C(=O)N=C4c4cccc2c43)cc1,FARGPDWBASZQBS-UHFFFAOYSA-N,FARGPDWBASZQBS,6.35,2011
46,COc1c(C=C2N=C(C)C=C2C)[nH]c(-c2cc3c(cccc3)[nH]2)c1,FAXHWWPCICIRHY-UHFFFAOYSA-N,FAXHWWPCICIRHY,5.96,2012
47,Cc1ccc(-c2ccc(C=C3SC(=S)N(C(Cc4c[nH]c5c4cccc5)C(=O)NS(=O)(=O)c4ccc([N+](=O)[O-])cc4)C3=O)cc2)cc1,FHAPCOWJLYRGAU-UHFFFAOYSA-N,FHAPCOWJLYRGAU,6.14,2015
48,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccc(C(F)(F)F)cc4)CC3)cc2)cc1[N+](=O)[O-],FIFOMEJSIJQOII-UHFFFAOYSA-N,FIFOMEJSIJQOII,8.03,2007
49,O=C(O)c1ccc(COc2ccc(C=C3SC(=S)N(c4cccc([N+](=O)[O-])c4)C3=O)cc2)cc1,FIFUZOWYLOVRTK-UHFFFAOYSA-N,FIFUZOWYLOVRTK,5.02,2015
50,COc1cc(CCCN2CCOCC2)ccc1-c1ccc(C(=O)NS(=O)(=O)c2ccc(NC(CCCCN)CSc3ccccc3)c([N+](=O)[O-])c2)cc1,FKXZASURJKOHMN-UHFFFAOYSA-N,FKXZASURJKOHMN,7.16,2006
51,CCOc1ccccc1N=Nc1c(O)n(-c2cc(-c3ccc(C(C)C)cc3)cc(O)c2)nc1C,FNEUIXJSXFRWNA-UHFFFAOYSA-N,FNEUIXJSXFRWNA,5.72,2015
52,N#CC1=C2C(=NC1=O)c1cccc3c(Sc4ccc(N)cc4)ccc2c13,FNSJVQXUTIKAPS-UHFFFAOYSA-N,FNSJVQXUTIKAPS,6.493333333333333,2011
53,CC1(C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(C)(C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,FQHHQKOASLDQEQ-UHFFFAOYSA-N,FQHHQKOASLDQEQ,7.17,2007
54,Cc1cc(OCCCc2c(C(=O)O)[nH]c3ccccc23)cc(C)c1Cl,FQKXEZIKGBCCDX-UHFFFAOYSA-N,FQKXEZIKGBCCDX,5.28,2013
55,O=C(NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(Cc1c[nH]c2c1cccc2)N1C(=O)C(=Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)SC1=S,FTQQMZTZACZYNK-UHFFFAOYSA-N,FTQQMZTZACZYNK,6.12,2015
56,O=C(Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1)c1ccc(Br)cc1,FXSMHFOLAPYERG-UHFFFAOYSA-N,FXSMHFOLAPYERG,6.12,2012
57,Cc1c(-c2c(C)cc3c(C(C)C)c(O)c(O)c(C=NCCCCC(=O)O)c3c2O)c(O)c2c(C=NCCCCC(=O)O)c(O)c(O)c(C(C)C)c2c1,GCCMPDWACUITTL-UHFFFAOYSA-N,GCCMPDWACUITTL,6.77,2016
58,Cc1cc(OCCCc2c(C(=O)O)sc3ccccc23)cc(C)c1Cl,GFWMYYSJLSUPMD-UHFFFAOYSA-N,GFWMYYSJLSUPMD,5.28,2013
59,COc1cc(CCCO)ccc1-c1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,GGWKUJZJEAKEPL-UHFFFAOYSA-N,GGWKUJZJEAKEPL,6.14,2006
60,O=C(NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(Cc1ccc(Br)cc1)N1C(=O)C(=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)SC1=S,GJNNQNGEIJNCML-UHFFFAOYSA-N,GJNNQNGEIJNCML,6.44,2015
61,O=C(Nc1nc2c(cccc2)s1)c1c2CN(c3nc(C(=O)O)c(CCCOc4ccccc4)s3)CCc2ccc1,GMBBUSJVBYODHI-UHFFFAOYSA-N,GMBBUSJVBYODHI,5.36,2014
62,CCOc1ccc(-c2cc(C(=O)O)nn2-c2ccc(Oc3ccccc3)cc2)cc1,GRDDGUBYUUVVGI-UHFFFAOYSA-N,GRDDGUBYUUVVGI,6.16,2016
63,CN(C)CCCNc1c2cnn(-c3ccc(OCCCc4c(C(=O)O)nc(N5CCc6c(C5)c(C(=O)Nc5nc7c(cccc7)s5)ccc6)s4)cc3)c2ncn1,GSBDKZDDNFVAFT-UHFFFAOYSA-N,GSBDKZDDNFVAFT,6.62,2014
64,COc1cc(CCN(C)C)ccc1-c1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,GSUCANPGMCMCOQ-UHFFFAOYSA-N,GSUCANPGMCMCOQ,5.49,2006
65,O=C(O)CSc1cc(NS(=O)(=O)c2cccs2)c2ccccc2c1O,GVAXUAIZKLJWSB-UHFFFAOYSA-N,GVAXUAIZKLJWSB,4.26,2014
66,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4)CC3)cc2)cc1[N+](=O)[O-],GVUHBRBKGLCYFC-UHFFFAOYSA-N,GVUHBRBKGLCYFC,7.4,2007
67,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3C(C)C)C2=O)C(=O)c2c(C1=O)c(C(C)C)c(O)c(O)c2,GYYXKPBLWDDQQK-UHFFFAOYSA-N,GYYXKPBLWDDQQK,7.46,2010
68,COC(=O)CCCCN=Cc1c2c(O)c(-c3c(C)cc4c(C(C)C)c(O)c(O)c(C=NCCCCC(=O)OC)c4c3O)c(C)cc2c(C(C)C)c(O)c1O,GZSJFIAESZNUFR-UHFFFAOYSA-N,GZSJFIAESZNUFR,6.74,2016
69,O=C(O)c1c(CCCOc2ccc3CCCCc3c2)c2cccc3c2n1CCS3,HASLVVNHEHIJPI-UHFFFAOYSA-N,HASLVVNHEHIJPI,5.36,2015
70,COc1cc(CCCN2CCOCC2)ccc1-c1ccc(C(=O)NS(=O)(=O)c2cc([N+](=O)[O-])c(NC(CCCCN(C)C)CSc3ccccc3)cc2)cc1,HCRVHCSWPNGASC-UHFFFAOYSA-N,HCRVHCSWPNGASC,7.23,2006
71,CC1=NN(c2nc(-c3ccccc3)cs2)C(=O)C1=Cc1ccccc1,HIIYEICTFMETLT-UHFFFAOYSA-N,HIIYEICTFMETLT,5.72,2015
72,CC(C)c1c(O)c(O)c(O)c(C(=O)Nc2ccccc2)c1,HMVKMSUSFWLQLX-UHFFFAOYSA-N,HMVKMSUSFWLQLX,4.640000000000001,2006
73,CC(C(=O)NS(=O)(=O)c1ccccc1)N1C(=O)C(=Cc2ccc(-c3ccccc3)cc2)SC1=S,HNCWMGXOYHLERW-UHFFFAOYSA-N,HNCWMGXOYHLERW,5.62,2015
74,O=C(C=Cc1cccc(Cl)c1)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,HNCYBOXDZDUUEO-UHFFFAOYSA-N,HNCYBOXDZDUUEO,5.89,2016
75,O=C(C=Cc1ccc(Cl)cc1)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,HVFCPAJZPFPRJF-UHFFFAOYSA-N,HVFCPAJZPFPRJF,5.96,2016
