,status_efflux,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
46,0.0,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,KZJWDPNRJALLNS-VJSFXXLFSA-N,KZJWDPNRJALLNS
47,0.0,O=C(Nc1ccncc1)C(=O)c1cn(Cc2ccc(Cl)cc2)c2ccccc12,SOLIIYNRSAWTSQ-UHFFFAOYSA-N,SOLIIYNRSAWTSQ
48,1.0,C=C1CC2C=Nc3cc(OCCCOc4cc5c(cc4OC)C(=O)N4CC(=C)CC4C=N5)c(OC)cc3C(=O)N2C1,RWZVMMQNDHPRQD-UHFFFAOYSA-N,RWZVMMQNDHPRQD
49,1.0,CNc1nc2c(Cc3cccnc3)c(C)c(O)c(C)c2s1,IONAQTGMWFXHIX-UHFFFAOYSA-N,IONAQTGMWFXHIX
50,0.0,CCC1C(=O)Nc2ccc(F)cc2N1C(=O)OC(C)C,KELNNWMENBUHNS-UHFFFAOYSA-N,KELNNWMENBUHNS
51,0.0,CC(=O)c1c(-c2ccco2)c(C#N)c(=S)n([C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c1C,NMHXNOKAKZGUQM-COWMOVNHSA-N,NMHXNOKAKZGUQM
52,1.0,CCN(CC)CCCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23,ZNCLTXLLRNQSPG-UHFFFAOYSA-N,ZNCLTXLLRNQSPG
53,0.0,Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,VQJHOPSWBGJHQS-UHFFFAOYSA-N,VQJHOPSWBGJHQS
54,1.0,CC(=O)Nc1ccc(OS(=O)(=O)O)cc1,IGTYILLPRJOVFY-UHFFFAOYSA-N,IGTYILLPRJOVFY
55,0.0,C[C@@](O)(C=C[C@@H]1CC=CC(=O)O1)[C@@H](C[C@@H](O)C=CC=CC=CCO)OP(=O)(O)O,ZMQRJWIYMXZORG-IMBTUZDBSA-N,ZMQRJWIYMXZORG
56,0.0,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)C32)OCO4)cc(OC)c1OC,ZGLXUQQMLLIKAN-XIXJEIPKSA-N,ZGLXUQQMLLIKAN
57,0.0,O=C1NC(=O)C(c2cn(CCC3CCCCN3)c3ccccc23)=C1c1c[nH]c2ccccc12,FZUIMWOIRBMAOH-UHFFFAOYSA-N,FZUIMWOIRBMAOH
58,0.0,COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(CC(O)(C(C)=O)CC1OC1CC(n2cc(CO)nn2)C(O)C(C)O1)C3=O,YCJHENWZCSUDAD-UHFFFAOYSA-N,YCJHENWZCSUDAD
59,1.0,NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,BMPDWHIDQYTSHX-AWEZNQCLSA-N,BMPDWHIDQYTSHX
60,1.0,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,ZZIALNLLNHEQPJ-UHFFFAOYSA-N,ZZIALNLLNHEQPJ
61,1.0,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,MUHBBHLZPHKTTR-VUMGMMBSSA-N,MUHBBHLZPHKTTR
62,0.0,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,YSXKPIUOCJLQIE-UHFFFAOYSA-N,YSXKPIUOCJLQIE
63,0.0,CC(=O)CCC[C@@H](C)[C@@H]1O[C@H]([C@]2(C)CCC(=O)O2)C[C@H]2C(CSc3ccccc3)C(=O)O[C@@H]12,BEWCMAIZKMJGCB-GLIOOGIASA-N,BEWCMAIZKMJGCB
64,1.0,COc1cccc2c1CCCC2=CCCN1CCCCC1,OQZQEGAAANHHRE-UHFFFAOYSA-N,OQZQEGAAANHHRE
65,1.0,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2C[C@H](N(C)C(C(=O)O)C(C)C)C[C@@H]2c2cccc(F)c2)CC1,ZTENZJJCFACIAK-LMMPKFLZSA-N,ZTENZJJCFACIAK
