,status_pampa,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
797,1.0,COc1ccc(F)cc1CNCCCNc1ccnc2cc(Oc3ccccc3OC)ccc12,QXQZZHIXXFRZNL-UHFFFAOYSA-N,QXQZZHIXXFRZNL
798,0.0,Cc1ccc(NC(=O)c2cc(=O)c3cc(/C=C/C(=O)O)ccc3o2)cc1,FAISWNPDVIRIIE-WEVVVXLNSA-N,FAISWNPDVIRIIE
799,0.0,CS(=O)(=O)c1ccc2c(=O)n(C(c3ccccc3)c3ccccc3)c(=O)n(C/C=C/COc3ccc(C(=O)O)cc3)c2c1,HSWBYAFNAMYGMZ-CMDGGOBGSA-N,HSWBYAFNAMYGMZ
800,1.0,CSc1ccc2c(=O)n(C(c3ccccc3)c3ccccc3)c(=O)n(C/C=C/COc3ccc(C(=O)O)cc3)c2c1,PEDRGXMPMZOSLJ-CMDGGOBGSA-N,PEDRGXMPMZOSLJ
801,1.0,Cc1c(Cl)cccc1CCCCOc1ccc(C#Cc2cccc3c(CC(=O)O)c(C)n(CCC(=O)O)c23)cc1,VWQZNSNDHXIKHH-UHFFFAOYSA-N,VWQZNSNDHXIKHH
802,1.0,CCN(CCCCCCn1sc2cc(OC)c(OC)cc2c1=O)Cc1ccccc1,CQVZTWOZSOUXDE-UHFFFAOYSA-N,CQVZTWOZSOUXDE
803,0.0,Cc1c(Cl)cccc1CCCCOc1ccc(C#Cc2cccc3c(CC(=O)O)c(C)n(CC(=O)O)c23)cc1,NDHNPJAOYJVUSM-UHFFFAOYSA-N,NDHNPJAOYJVUSM
804,1.0,O=C(c1ccc(Cn2ccc3ccc(Cl)cc32)cc1)N1CC[C@H](N2CCCC2)C1,HHPYIWPWLUUFOK-QFIPXVFZSA-N,HHPYIWPWLUUFOK
805,1.0,O=C(CCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,FKFJZGFHHCYXOR-UHFFFAOYSA-N,FKFJZGFHHCYXOR
806,0.0,CN(C)C/C=C/C(=O)Nc1cccc(C(OCCN2CCCCC2)c2cc3nccc(C(=O)O)c3s2)c1,KIIDGZQVWULCMZ-JXMROGBWSA-N,KIIDGZQVWULCMZ
807,1.0,CN(C)Cc1ccc(C=Cc2[nH]nc3cc(C=C4C(=O)Nc5ccccc54)ccc23)cc1,HCLJFCCORISDCX-UHFFFAOYSA-N,HCLJFCCORISDCX
808,1.0,O=C(c1ccc(Cn2ccc3ccccc32)cc1)N1CC[C@H](N2CCCC2)C1,LRYZIKHXEUKDPW-QFIPXVFZSA-N,LRYZIKHXEUKDPW
809,1.0,COc1ccc(F)cc1CNCCCNc1ccnc2cc(Cc3cc(C)cc(C)c3)ccc12,UBAHLMJZJUYZHI-UHFFFAOYSA-N,UBAHLMJZJUYZHI
810,0.0,C/C(=C\c1cc(F)c(Oc2ccc(S(=O)(=O)NCCCP(=O)(O)O)cc2)c(F)c1)C(=O)N=C(N)N,NTUHKHVNPPOCFP-FMIVXFBMSA-N,NTUHKHVNPPOCFP
811,1.0,C=c1cc2c(O)c(O)c3c(C)coc3c2cc1=C,CGCLCIMMVIOJID-UHFFFAOYSA-N,CGCLCIMMVIOJID
812,1.0,CCCCCCSc1ccc(C(=O)CCN2CCNC(=O)C2)c(Cl)c1Cl,IBVIIZYHGJMNCH-UHFFFAOYSA-N,IBVIIZYHGJMNCH
813,1.0,COc1cccc2[nH]c(-c3ccc4c(c3)OCO4)cc(=O)c12,RPFMBGZWLUNCHW-UHFFFAOYSA-N,RPFMBGZWLUNCHW
814,1.0,CCCCCCCc1c(C)[nH]c2cc(OC)ccc2c1=O,BCZRFDKLLBFOHJ-UHFFFAOYSA-N,BCZRFDKLLBFOHJ
815,1.0,CCN(CC)c1ccc(/C=C/C(=O)c2cc(-c3ccc(C(C)C(=O)OC)cc3F)ccc2O)cc1,MEXPFZVBLLCZMC-OQLLNIDSSA-N,MEXPFZVBLLCZMC
816,0.0,CN1Cc2c(Cl)cc(Cl)cc2C(c2cccc(S(=O)(=O)NCCCS(=O)(=O)O)c2)C1,XBASOQVZUDOLDO-UHFFFAOYSA-N,XBASOQVZUDOLDO
817,0.0,CSc1nc(Nc2cccc(Cl)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,ZSKSRKTYCCBGOO-UHFFFAOYSA-N,ZSKSRKTYCCBGOO
818,1.0,CCN1CCN(c2ccc(Nc3c4ccc(Cl)cc4nc4ccc(OC)cc34)cc2)CC1,MNYIOGRNTCTHGP-UHFFFAOYSA-N,MNYIOGRNTCTHGP
819,0.0,CC(C)Oc1cc2[nH]c3c(c(=O)c2cc1Cl)CCCC3,BCNOOLQBJMDPLK-UHFFFAOYSA-N,BCNOOLQBJMDPLK
820,1.0,CC(C)=CCC12OC[C@@H]3[C@@H](CN(C)C)C(=CC4C(=O)c5c(O)cccc5O[C@]431)C2=O,YSDMVTCTPWUWBI-JSIOFYJOSA-N,YSDMVTCTPWUWBI
821,1.0,CCCCCCOc1cc(Cl)c(C(=O)CCN(C)C)cc1Cl,BSXKQZASVPAQPC-UHFFFAOYSA-N,BSXKQZASVPAQPC
822,1.0,Cc1cc(NC(=O)Nc2cccc3nsnc23)c2ccccc2n1,QDZRULMEAFNENM-UHFFFAOYSA-N,QDZRULMEAFNENM
823,1.0,CCOC(=O)c1ccc2nc(-c3cccnc3)c3c(c2c1)NCCC3,CAYLLNNRKRSNSP-UHFFFAOYSA-N,CAYLLNNRKRSNSP
824,1.0,CCCCCCSc1ccc(C(=O)CCN2CCNC(=O)C2)c(Cl)c1,ZOZWRIQKVTZFOI-UHFFFAOYSA-N,ZOZWRIQKVTZFOI
825,0.0,O=C(Nc1ccccc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,HRNGMKXGIBFNBE-UHFFFAOYSA-N,HRNGMKXGIBFNBE
826,0.0,O=C(O)CCCc1cn(CC(=O)O)c2c(/C=C/c3ccc(OCCCCc4ccccc4)cc3)cccc12,JITXEOCUBFNDSU-OBGWFSINSA-N,JITXEOCUBFNDSU
827,1.0,COc1cc2oc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)cc(=O)c2cc1OC,GWSXEQILOPSURJ-UHFFFAOYSA-N,GWSXEQILOPSURJ
828,1.0,COc1ccc(F)cc1CNCCCNc1ccnc2cc(C3CCCCC3)ccc12,HXTVKKFZYPPWMR-UHFFFAOYSA-N,HXTVKKFZYPPWMR
829,1.0,c1ccc(Cc2ccc3c(NCCCNCc4ccco4)ccnc3c2)cc1,RVJXPLUAWZIYGH-UHFFFAOYSA-N,RVJXPLUAWZIYGH
830,1.0,FC(F)(F)c1ccc(-c2ccc3c(NCCCNCc4ccco4)ccnc3c2)cc1,QFDJUTNPVXUTOP-UHFFFAOYSA-N,QFDJUTNPVXUTOP
831,1.0,COc1cccc(CNCCCNc2ccnc3cc(-c4cccc5ccccc45)ccc23)c1O,PIQSJWJEFNZKAX-UHFFFAOYSA-N,PIQSJWJEFNZKAX
832,1.0,CC(C)Oc1ccc(C#N)cc1C(=O)N1Cc2cn(-c3ccccc3)nc2C1,LGQMKDJDLRJGMM-UHFFFAOYSA-N,LGQMKDJDLRJGMM
833,1.0,CCCCC#Cc1c(C)[nH]c2ccc(OC)cc2c1=O,BPSVESACBGBXIA-UHFFFAOYSA-N,BPSVESACBGBXIA
834,1.0,COc1ccc(C(=O)CCC2C=CN(Cc3cccc(Cl)c3)C=C2C(C)=O)cc1OC,OYPCNXLINUJIIK-UHFFFAOYSA-N,OYPCNXLINUJIIK
835,1.0,CCOC(=O)c1c(-c2cccc(OC)c2)[nH]c2cccc(OC)c2c1=O,NECFWSOYBYDYKF-UHFFFAOYSA-N,NECFWSOYBYDYKF
836,1.0,COc1ccc2nc(/C=C/c3ccccc3)ccc2c1,GGNDOAUDXSABFB-VQHVLOKHSA-N,GGNDOAUDXSABFB
837,1.0,CC(C)=CCC12OC(C)(C)[C@@H]3CC(=CC4C(=O)c5c(O)cc(O)cc5O[C@]431)C2=O,IDIPVKQYHZRAKG-VSVKTVNSSA-N,IDIPVKQYHZRAKG
838,1.0,Cc1[nH]c2c(Cl)cc(Cl)cc2c(=O)c1-c1ccccc1,UUGJIMBMEKFWQY-UHFFFAOYSA-N,UUGJIMBMEKFWQY
839,1.0,O=c1c2c([nH]c3ccc(-c4ccc(COc5ccccc5)cc4)cc13)CCSC2,QWEMQPWTSPQYCL-UHFFFAOYSA-N,QWEMQPWTSPQYCL
840,1.0,COc1cccc2[nH]c3c(c(=O)c12)CCC(C)(C)C3,ZCJNCKSIEMQWQV-UHFFFAOYSA-N,ZCJNCKSIEMQWQV
841,1.0,Cc1cc(NC(=O)Nc2ccccc2C(F)(F)F)c2ccccc2n1,JTMDFOSVAQARHK-UHFFFAOYSA-N,JTMDFOSVAQARHK
842,1.0,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,SWTRIZHCIUWGAU-UHFFFAOYSA-N,SWTRIZHCIUWGAU
843,0.0,C/C(=C\c1cc(F)c(Oc2ccc(S(=O)(=O)Nc3ccc(CP(=O)(O)O)cc3)cc2)c(F)c1)C(=O)N=C(N)N,XCEOHOCTKANEGV-GXDHUFHOSA-N,XCEOHOCTKANEGV
844,1.0,COc1cc(OC)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)oc2c1,ZGZSZRMYJSHPOQ-UHFFFAOYSA-N,ZGZSZRMYJSHPOQ
