,SMILES_raw,status_influx,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
35,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,Substrate,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,IENZQIKPVFGBNW-UHFFFAOYSA-N,IENZQIKPVFGBNW
36,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,Substrate,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N=C(N)N)cc2)cc1,XASIMHXSUQUHLV-UHFFFAOYSA-N,XASIMHXSUQUHLV
37,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1.[Br-],Substrate,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,BGSZAXLLHYERSY-XQIGCQGXSA-N,BGSZAXLLHYERSY
38,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,Substrate,N=C(N=C(N)NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,GHXZTYHSJHQHIJ
39,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,Substrate,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,JFIOVJDNOJYLKP-UHFFFAOYSA-N,JFIOVJDNOJYLKP
40,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,Substrate,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,JFJZZMVDLULRGK-URLMMPGGSA-O,JFJZZMVDLULRGK
41,CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1,Substrate,CCOC(=O)c1ccc(OC(=O)CCCCCN=C(N)N)cc1,YKGYIDJEEQRWQH-UHFFFAOYSA-N,YKGYIDJEEQRWQH
42,NC1=NCC2c3ccccc3Cc3ccccc3N12,Substrate,NC1=NCC2c3ccccc3Cc3ccccc3N12,WHWZLSFABNNENI-UHFFFAOYSA-N,WHWZLSFABNNENI
43,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cn1cc(CCc2ccccc2)nn1)NC(=O)[C@H](CO)NC(=O)CN)C(N)=O,Substrate,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cn1cc(CCc2ccccc2)nn1)NC(=O)C(CO)NC(=O)CN)C(N)=O,HCIUBYMUNUSUNO-UHFFFAOYSA-N,HCIUBYMUNUSUNO
44,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cn1cc(Cc2ccccc2)nn1)NC(=O)[C@H](CO)NC(=O)CN)C(N)=O,Substrate,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cn1cc(Cc2ccccc2)nn1)NC(=O)C(CO)NC(=O)CN)C(N)=O,DLHLAUJNPITBMI-UHFFFAOYSA-N,DLHLAUJNPITBMI
