,SMILES_raw,status_efflux,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
1670,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,Non-substrate,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,VCKUSRYTPJJLNI-UHFFFAOYSA-N,VCKUSRYTPJJLNI
1671,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)CCCCCCCCC(=O)OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3N=[N+]=[N-])O2)c(=O)[nH]c1=O,Non-substrate,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)CCCCCCCCC(=O)OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3N=[N+]=[N-])O2)c(=O)[nH]c1=O,IAZUBEQHMIRIMS-ZJCHSKCTSA-N,IAZUBEQHMIRIMS
1672,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)CCCCCCCCCCCCC(=O)OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3N=[N+]=[N-])O2)c(=O)[nH]c1=O,Non-substrate,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)CCCCCCCCCCCCC(=O)OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3N=[N+]=[N-])O2)c(=O)[nH]c1=O,PYUCBTJWHQJGQT-BQXGFVACSA-N,PYUCBTJWHQJGQT
1673,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc(NC(=O)CBr)cc3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc(NC(=O)CBr)cc3)n2)c1,KMCDXXUBPYNMMR-UHFFFAOYSA-N,KMCDXXUBPYNMMR
1674,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc(N=[N+]=[N-])cc3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc(N=[N+]=[N-])cc3)n2)c1,KWLYGWLFASNONZ-UHFFFAOYSA-N,KWLYGWLFASNONZ
1675,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc(N=C=S)cc3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc(N=C=S)cc3)n2)c1,GJJVSOUFGJBHNF-UHFFFAOYSA-N,GJJVSOUFGJBHNF
1676,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc(NC(C)=O)cc3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc(NC(C)=O)cc3)n2)c1,XQUUPBAZLVSZBP-UHFFFAOYSA-N,XQUUPBAZLVSZBP
1677,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc(N)cc3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc(N)cc3)n2)c1,CZJIJLRMBISFOT-UHFFFAOYSA-N,CZJIJLRMBISFOT
1678,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccccc3[N+](=O)[O-])n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccccc3[N+](=O)[O-])n2)c1,NLOHMGLKEDWSDR-UHFFFAOYSA-N,NLOHMGLKEDWSDR
1679,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3cccc([N+](=O)[O-])c3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3cccc([N+](=O)[O-])c3)n2)c1,XSJNRWDVBNSPLV-UHFFFAOYSA-N,XSJNRWDVBNSPLV
1680,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc([N+](=O)[O-])cc3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc([N+](=O)[O-])cc3)n2)c1,MWCMHNJTYDBIQK-UHFFFAOYSA-N,MWCMHNJTYDBIQK
1681,COc1ccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc([N+](=O)[O-])cc3)n2)cc1,Substrate,COc1ccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc([N+](=O)[O-])cc3)n2)cc1,WSTBSSVTCOSMPS-UHFFFAOYSA-N,WSTBSSVTCOSMPS
1682,COc1ccc(NC(=O)Nc2ccccc2-c2nnn(-c3ccc(OC)cc3)n2)cc1,Substrate,COc1ccc(NC(=O)Nc2ccccc2-c2nnn(-c3ccc(OC)cc3)n2)cc1,ZSDTXQAQHNOURO-UHFFFAOYSA-N,ZSDTXQAQHNOURO
1683,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(NC(=O)CBr)cc3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(NC(=O)CBr)cc3)n2)c1,ZWMAQZANWPPLEY-UHFFFAOYSA-N,ZWMAQZANWPPLEY
1684,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(N=[N+]=[N-])cc3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(N=[N+]=[N-])cc3)n2)c1,IMXDQRSAJHCBIT-UHFFFAOYSA-N,IMXDQRSAJHCBIT
1685,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(N=C=S)cc3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(N=C=S)cc3)n2)c1,WJJPRCLLRUIOGI-UHFFFAOYSA-N,WJJPRCLLRUIOGI
1686,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(NC(C)=O)cc3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(NC(C)=O)cc3)n2)c1,NDEVHFDDTBQMTI-UHFFFAOYSA-N,NDEVHFDDTBQMTI
1687,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(N)cc3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(N)cc3)n2)c1,JUSMKRLXJZILHS-UHFFFAOYSA-N,JUSMKRLXJZILHS
1688,CCCc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3cccc(OC)c3)n2)cc1,Substrate,CCCc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3cccc(OC)c3)n2)cc1,JYJXKFPVGIPYGK-UHFFFAOYSA-N,JYJXKFPVGIPYGK
1689,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccccc3[N+](=O)[O-])n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccccc3[N+](=O)[O-])n2)c1,GSBCGJUHQGCIQK-UHFFFAOYSA-N,GSBCGJUHQGCIQK
1690,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3cccc([N+](=O)[O-])c3)n2)c1,Substrate,COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3cccc([N+](=O)[O-])c3)n2)c1,GAEVXDNVGRCDCS-UHFFFAOYSA-N,GAEVXDNVGRCDCS
1691,CCCc1ccc(NC(=O)c2ccccc2NC(=O)c2ccc(OC)cc2)cc1,Substrate,CCCc1ccc(NC(=O)c2ccccc2NC(=O)c2ccc(OC)cc2)cc1,PURIZVGECNGRNW-UHFFFAOYSA-N,PURIZVGECNGRNW
1692,CCCc1cccc(NC(=O)c2ccccc2NC(=O)c2ccccc2[N+](=O)[O-])c1,Substrate,CCCc1cccc(NC(=O)c2ccccc2NC(=O)c2ccccc2[N+](=O)[O-])c1,PGUNDTXQCOOBCT-UHFFFAOYSA-N,PGUNDTXQCOOBCT
1693,CCCc1ccc(NC(=O)c2ccccc2NC(=O)c2cccc([N+](=O)[O-])c2)cc1,Substrate,CCCc1ccc(NC(=O)c2ccccc2NC(=O)c2cccc([N+](=O)[O-])c2)cc1,BHHUMQACXLNCBJ-UHFFFAOYSA-N,BHHUMQACXLNCBJ
1694,CCCc1ccc(NC(=O)c2ccccc2NC(=O)c2ccc([N+](=O)[O-])cc2)cc1,Substrate,CCCc1ccc(NC(=O)c2ccccc2NC(=O)c2ccc([N+](=O)[O-])cc2)cc1,IYOQRDPWABOLLS-UHFFFAOYSA-N,IYOQRDPWABOLLS
1695,O=C(Nc1ccc([N+](=O)[O-])cc1)Nc1ccccc1C(=O)Nc1ccc(C(F)(F)F)cc1,Substrate,O=C(Nc1ccc([N+](=O)[O-])cc1)Nc1ccccc1C(=O)Nc1ccc(C(F)(F)F)cc1,BLHZHZPWSGDTMV-UHFFFAOYSA-N,BLHZHZPWSGDTMV
1696,CCCc1ccc(NC(=O)c2ccccc2NC(=O)Nc2ccc(OC)cc2)cc1,Substrate,CCCc1ccc(NC(=O)c2ccccc2NC(=O)Nc2ccc(OC)cc2)cc1,BGMKYXXBLIPWNR-UHFFFAOYSA-N,BGMKYXXBLIPWNR
1697,CCCc1ccc(NC(=O)c2ccccc2NC(=O)Nc2ccc(Br)cc2)cc1,Substrate,CCCc1ccc(NC(=O)c2ccccc2NC(=O)Nc2ccc(Br)cc2)cc1,BUPATFDEDDOVME-UHFFFAOYSA-N,BUPATFDEDDOVME
1698,CCCc1ccc(NC(=O)c2ccccc2NC(=O)Nc2ccccc2[N+](=O)[O-])cc1,Substrate,CCCc1ccc(NC(=O)c2ccccc2NC(=O)Nc2ccccc2[N+](=O)[O-])cc1,XPYLSUUYWSRWKK-UHFFFAOYSA-N,XPYLSUUYWSRWKK
1699,CCCc1ccc(NC(=O)c2ccccc2NC(=O)Nc2cccc([N+](=O)[O-])c2)cc1,Substrate,CCCc1ccc(NC(=O)c2ccccc2NC(=O)Nc2cccc([N+](=O)[O-])c2)cc1,SMADMNDZGGGIER-UHFFFAOYSA-N,SMADMNDZGGGIER
1700,CCCc1ccc(NC(=O)c2ccccc2NC(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,Substrate,CCCc1ccc(NC(=O)c2ccccc2NC(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,YBFIUNYMSHETCF-UHFFFAOYSA-N,YBFIUNYMSHETCF
1701,c1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,Substrate,c1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,GZXZUNKHWMIJBH-UHFFFAOYSA-N,GZXZUNKHWMIJBH
1702,O=[N+]([O-])c1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,Substrate,O=[N+]([O-])c1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,DIBNMXLBUUGTML-UHFFFAOYSA-N,DIBNMXLBUUGTML
1703,O=[N+]([O-])c1cc(Nc2nc(-c3ccccc3)nc3ncccc23)ccc1O,Substrate,O=[N+]([O-])c1cc(Nc2nc(-c3ccccc3)nc3ncccc23)ccc1O,MESQGHGZZODEQW-UHFFFAOYSA-N,MESQGHGZZODEQW
1704,N#Cc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,Substrate,N#Cc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,WVUZRYVMNWFXTK-UHFFFAOYSA-N,WVUZRYVMNWFXTK
1705,N#Cc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,Substrate,N#Cc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,AGXGSLCFPQNJHA-UHFFFAOYSA-N,AGXGSLCFPQNJHA
1706,COc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,Substrate,COc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1,VWOLGYKRDOAGKG-UHFFFAOYSA-N,VWOLGYKRDOAGKG
1707,COc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,Substrate,COc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1,NNIBESKDQBFDGM-UHFFFAOYSA-N,NNIBESKDQBFDGM
