,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
1686,1942,O=c1ncccn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,,0.0,,,,-1.59,102.59,-0.55,-1.49,7,3,228.074621484,2,,Train,,,,0000000000000000000000000000000000001000000000000000110010000100100000010010100101101000111100111100000001001100100010011100001000111000101101110101010111111110111110,,,,,,,0.634446561336517,1.0,0.441409647464752,0.0,0.433377265930176,0.0,,,,,,,,,,,,,O=c1ncccn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,RPQZTTQVRYEKCR-WCTZXXKLSA-N,RPQZTTQVRYEKCR
1689,1948,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,,0.0,,,,3.24,66.76,-3.0,1.89,4,2,254.0579088,1,,Train,,,,0000000000000000000000000000000000000000000000000000100010000100000000000000000000000000100000000100000010000000100000000000101000100000101100101100000101001010011110,,,,,,,0.30451175570488,0.0,0.571506440639496,1.0,0.40812087059021,0.0,,,,,,,,,,,,,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,RTIXKCRFFJGDFG-UHFFFAOYSA-N,RTIXKCRFFJGDFG
1692,1951,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,,0.0,,,,5.66,20.23,-4.82,6.01,1,1,286.22966558,5,,Train,,,,0000000000000000000000000000000000000000000000000100000000000000010000000101000001000000000000000010000000011001001101000000000000000000001010000010110010101001001110,,,,,,,0.500669598579407,1.0,0.443347781896591,0.0,0.462570160627365,0.0,,,,,,,,,,,,,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,FPIPGXGPPPQFEQ-UHFFFAOYSA-N,FPIPGXGPPPQFEQ
1694,1953,O=C(C=C(c1ccccc1)n1cnc2ncccc21)O[C@@H]1C[C@](OC[C@@H]2C[C@@H]2c2ccc(Cl)cc2)(C(=O)O)C[C@@H](O)[C@H]1O,,0.0,,,,3.87,144.0,-4.12,0.64,9,3,603.17722798,9,,Train,,,,0000000000000000000001000000000000000100000010000000010000000100110000010011101100101010111000011110001110101001000000011110111010110101101101101101010111111110111110,,,,,,,0.762147784233093,1.0,0.446812152862549,0.0,0.612554967403412,1.0,,,,,,,,,,,,,O=C(C=C(c1ccccc1)n1cnc2ncccc21)O[C@@H]1C[C@](OC[C@@H]2C[C@@H]2c2ccc(Cl)cc2)(C(=O)O)C[C@@H](O)[C@H]1O,MYXPHMOLFCUDIL-WXOOLSSOSA-N,MYXPHMOLFCUDIL
1695,1955,CCCCC[C@H](O)C=C[C@H]1C(=O)C=C[C@@H]1CC=CCCCC(=O)O,,1.0,,,,3.67,74.6,-1.73,0.86,3,2,334.21440944,12,,Train,,,,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000010010000100010000011101000010001110110001001100100110010101101011000110,,,,,,,0.597685098648071,1.0,0.555389702320099,1.0,0.57696944475174,1.0,,,,,,,,,,,,,CCCCC[C@H](O)C=CC1=C(C=CCCCCC(=O)O)CCC1=O,SETWPKONPADPDJ-KRWDZBQOSA-N,SETWPKONPADPDJ
1696,1956,Cc1cc(-c2ccco2)c(C#N)c(=S)n1[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,0.0,,,,0.18,162.41,-3.9,0.56,9,4,378.088557296,3,,Train,,,,0000000000000000000000000000000000000000100000100000110010100101100000011010000111101001111100111100000000001100000010011100001000111000101101111101010110111111111110,,,,,,,0.568482518196106,1.0,0.449078291654587,0.0,0.520514786243439,1.0,,,,,,,,,,,,,Cc1cc(-c2ccco2)c(C#N)c(=S)n1[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,UICFNXTWPBWFNJ-LYYZXLFJSA-N,UICFNXTWPBWFNJ
1697,1957,COc1c(OC)c(OC)cc(C(=O)N[C@H]2CCc3c(-c4ccc(OC)c(=O)cc42)c(OC)c(OC)c(OC)c3)c1,,1.0,,,,2.05,110.78,-3.95,2.14,9,1,551.215531636,9,,Train,,,,0000000000000000001000000000000000000000000000000000000000000000000000010000000000000000110110000000000110000110100010000000111000001001000110111110111101011111111110,,,,,,,0.689526617527008,1.0,0.419457674026489,0.0,0.549834012985229,1.0,,,,,,,,,,,,,COc1cc(C(=O)N[C@H]2CCc3cc(OC)c(OC)c(OC)c3-c3ccc(OC)c(=O)cc32)cc(OC)c1OC,YWIKVBNQUVBQEN-FQEVSTJZSA-N,YWIKVBNQUVBQEN
1698,1958,CCN(CC)CCCNc1ccc2nc(C)n3c4ccc(O)cc4c(=O)c1c23,,1.0,,,,3.47,70.39,-2.12,0.82,6,2,378.205576072,7,,Train,,,,0000000000000000000000000000000000000100000000000000000000000000100000000000101101101100010000011101000110010010110101011100101110101010111011101011101111111111111110,,,,,,,0.744184136390686,1.0,0.486367046833038,0.0,0.607392251491547,1.0,,,,,,,,,,,,,CCN(CC)CCCNc1ccc2nc(C)n3c4ccc(O)cc4c(=O)c1c23,QLYLRFLMYPPPSP-UHFFFAOYSA-N,QLYLRFLMYPPPSP
1699,1959,COC(=O)[C@@]1(OC)CC2OC1(C)n1c3ccccc3c3c4CN(C)C(=O)c4c4c5ccccc5n2c4c31,,0.0,,,,3.76,74.93,-5.02,4.47,7,0,495.1794209,2,,Train,,,,0000000000000000001000000000000000000000000000000000000010000000110000010010001100101100100110111001100010010111001110011110111000010001100111111101110111011111111110,,,,,,,0.488463133573532,0.0,0.432237684726715,0.0,0.496341496706009,0.0,,,,,,,,,,,,,COC(=O)[C@@]1(OC)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N(C)C4,QTYMDECKVKSGSM-QVLNYQTGSA-N,QTYMDECKVKSGSM
1700,1960,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3c4c(c[nH]c4ccc3)C[C@H]21,,1.0,,,1.0,1.89,118.21,-1.56,2.42,6,3,581.26381922,4,,Train,,,Train,0000000000000000000000100100000000000000000000000100100010000000100000010011001100101100111110111111000011000111001111011110101110101001111101101111111111111111111110,,,,,,,0.699705064296722,1.0,0.606484353542328,1.0,0.492188096046448,0.0,,,,,,,,,,,,,CN1CC(C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,XCGSFFUVFURLIX-QOEFELPASA-N,XCGSFFUVFURLIX
