,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
834,924,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,,1.0,,,,1.81,145.44,-3.66,0.44,12,4,504.31725176,12,,Val,,,,0000000000000000000000001000000000000100000000000000000000000100100000000010101101001100001000100101000111001010000001011100100110111010111101001111000010111110111110,,,,,,,0.514301896095276,1.0,0.352802872657776,0.0,0.792567431926727,1.0,,,,,,,,,,,,,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,IZEKFCXSFNUWAM-UHFFFAOYSA-N,IZEKFCXSFNUWAM
838,930,Oc1ccc2C[C@H]3N(CC4CCC4)CC[C@]45c2c1O[C@H]4[C@@H](O)CC[C@@]35O,,1.0,,,1.0,2.27,73.16,-2.49,1.63,5,3,357.194008344,2,,Val,,,Val,0000000000100000000000000000000000000000000000000000000010000000010000010010000000101100111000110101100110000011100001011100001110110000111100111111000110111110111110,,,,,,,0.360180854797363,0.0,0.352802872657776,0.0,0.333889067173004,0.0,,,,,,,,,,,,,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,NETZHAKZCGBWSS-CEDHKZHLSA-N,NETZHAKZCGBWSS
840,932,CCC1(CO)C(=O)OCc2c1cc1-c3c(cc4ccccc4n3)Cn1c2=O,,1.0,,,,2.26,79.73,-3.59,1.81,6,1,362.126657056,2,,Val,,,,0000000000000000000000000000000000000000000000000000000010000000110000000000001101101000110100011101000010001101110110011110101100000001111101111101010011111111111110,,,,,,,0.838985025882721,1.0,0.339243620634079,0.0,0.77946811914444,1.0,,,,,,,,,,,,,CCC1(CO)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,DPUJAXGNZALOPP-UHFFFAOYSA-N,DPUJAXGNZALOPP
844,936,COc1ccc2Nc3c(C(=O)NCCN(C)C)ccc4c3c(nn4CCN(C)C)-c2c1,,1.0,,,,2.94,74.66,-1.88,0.83,7,2,422.2430242,8,,Test,,,,0000000000000000000000000000000000000000000000000001100000000000100000000110001101101100000111011101000110000110101111011101111000100010110011111011101111111111111110,,,,,,,0.927956283092499,1.0,0.795379757881165,1.0,0.611311912536621,1.0,,,,,,,,,,,,,COc1ccc2nc3c(=C(O)NCCN(C)C)ccc4c3c(nn4CCN(C)C)c2c1,AADYUBOYNDNFAZ-UHFFFAOYSA-N,AADYUBOYNDNFAZ
846,938,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@H]([C@@H]3[C@@]1(Cl)C2(Cl)Cl)[C@H]1O[C@@H]41,,0.0,,,,4.97,12.53,-6.25,4.94,1,0,377.870630956,0,,Val,,,,0000000000000001001001000000000000000000000000000000000010000000010000000001000000000010000000010110101010100001000000000000000000000100100000001000010100001000001110,,,,,,,0.933978140354156,1.0,0.268941432237625,0.0,0.451763361692429,0.0,,,,,,,,,,,,,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl,DFBKLUNHFCTMDC-PICURKEMSA-N,DFBKLUNHFCTMDC
852,944,COc1cc([N+](=O)[O-])c([N+](=O)[O-])cc1N,,0.0,,,,1.42,126.89,-3.29,1.74,6,1,213.038570324,3,,Test,,,,0000000000000000000000010000000000000000000000001000000100000010000001100000001100010000000011101000010000000000100000100101011001001011000101110101011100011111111110,,,,,,,0.458881556987762,0.0,0.268941432237625,0.0,0.159497484564781,0.0,,,,,,,,,,,,,COc1cc([N+](=O)[O-])c([N+](=O)[O-])cc1N,RAGDZFDTRGPPFN-UHFFFAOYSA-N,RAGDZFDTRGPPFN
854,946,COc1cccc2c1C(=O)c1c(O)c3c(C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)c(O)c1C2=O,,1.0,,,0.0,1.09,185.84,-2.56,-0.29,11,5,527.179146128,4,,Test,,,Train,0000000000000000000000000000000000000000000000000000010010000000010000010000000000010000111010101100000110010011100100000010111100111001101110111100111101011111111110,,,,,,,0.867745101451874,1.0,0.766826212406158,1.0,0.792567431926727,1.0,,,,,,,,,,,,,COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(C[C@@](O)(C(C)=O)C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C3=O,YSTRWQVEZGVBLR-VGBVRHCVSA-N,YSTRWQVEZGVBLR
857,950,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,,1.0,,,,0.94,154.37,-3.81,0.65,8,3,394.065965684,4,,Test,,,,0000000000000000000000001000000110000000010000000011101001111001101010001010101110110011000101111000010001100101000010011101100001101111100001011101011001010110111110,,,,,,,0.309225529432297,0.0,0.612098157405853,1.0,0.77946811914444,1.0,,,,,,,,,,,,,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,KDKUVYLMPJIGKA-UHFFFAOYSA-N,KDKUVYLMPJIGKA
860,954,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=C[C@@H](O)C[C@@H](O)CC(=O)O,,1.0,,,,1.9,149.3,-0.76,-1.77,7,3,481.168284836,10,,Val,,,,0000000000000000000000001000000110000000010000000010101001011100101000001100100110000011101011001110010101100001000010011111100001111111101111011101110101111111111110,,,,,,,0.887162148952484,1.0,0.795379757881165,1.0,0.792567431926727,1.0,,,,,,,,,,,,,CC(C)=c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1=CC[C@@H](O)C[C@@H](O)CC(=O)O,DRLXVNRHGMULCY-IAGOWNOFSA-N,DRLXVNRHGMULCY
864,958,CC(C)=CCCC(C)=CCc1c(O)c(O)cc(C=Cc2cc(O)c(CC=C(C)C)c(O)c2)c1,,0.0,,,,5.6,80.92,-6.91,7.37,4,4,448.261359632,9,,Test,,,,0000000000000000000000000000000000000000000000000100110000000000000000010101000000000000111000000010000000010000101100000000101110100000001110111110110100101011011110,,,,,,,0.0864157751202583,0.0,0.839184641838074,1.0,0.166185915470123,0.0,,,,,,,,,,,,,CC(C)=CCC=C(C)C=Cc1cc(CCc2cc(O)c(CC=C(C)C)c(O)c2)cc(O)c1O,LYPIWHKMDPCDJM-UHFFFAOYSA-N,LYPIWHKMDPCDJM
