,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
3815,4221,COc1ccccc1NC(=O)Nc1cc(C)nc2ccccc12,,,0.0,,,3.74,63.25,-4.14,3.88,3,2,307.132076784,3,,,Train,,,0000000000000000000000000000000000001000001000000000000000000000100000000000100100000000000010100100000011000100100010001000111000101010100001111000111101011111111110,,,,,,,,,,,,,0.801892876625061,1.0,0.612064838409424,1.0,0.567762315273285,1.0,,,,,,,COc1ccccc1NC(=O)Nc1cc(C)nc2ccccc12,IETIBXVXLAXJIM-UHFFFAOYSA-N,IETIBXVXLAXJIM
3817,4223,CC(C)=CCc1c(O)cc2O[C@@]34C(=C[C@H]5C(=O)C3(CC=C(C)C)OC[C@@H]4[C@H]5CN3CCCC3)C(=O)c2c1O,,,1.0,,,5.71,96.3,-4.7,3.53,7,2,519.262087904,6,,,Train,,,0000000000000000001000000100000000000000000000000100100010000000010000010111000000101100110000010111000010001011100101011100001110110001111110111111110111101111111110,,,,,,,,,,,,,0.755547761917114,1.0,0.607830584049225,1.0,0.621142446994781,1.0,,,,,,,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C1=CC3C(=O)C4(CC=C(C)C)OC[C@H]([C@H]3CN3CCCC3)[C@]14O2,MGOQNLBJKGFLMH-YQLOBILISA-N,MGOQNLBJKGFLMH
3818,4224,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2cccc(O)c2[nH]1,,,1.0,,,2.58,81.67,-2.32,1.47,4,3,405.205241724,6,,,Train,,,0000000000000000000000000000000000000000000000000000010000000000100000000010001001001100001100101101000110000110100011011100101110100001111001101111001111111110111110,,,,,,,,,,,,,0.72621762752533,1.0,0.625568747520447,1.0,0.63709282875061,1.0,,,,,,,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2cccc(O)c2[nH]1,AZLXAYYWUXDYQA-UHFFFAOYSA-N,AZLXAYYWUXDYQA
3819,4225,COc1cccc2c1[nH]c(C)c(Cc1ccccc1)c2=O,,,1.0,,,4.13,38.33,-4.81,4.45,2,1,279.125928784,3,,,Train,,,0000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010010101100000010000000100100001000111000000000100000111000111101111011111110,,,,,,,,,,,,,0.801892876625061,1.0,0.625654399394989,1.0,0.630459010601044,1.0,,,,,,,COc1cccc2c(=O)c(Cc3ccccc3)c(C)[nH]c12,ZEBCALAVOGKIJZ-UHFFFAOYSA-N,ZEBCALAVOGKIJZ
3820,4226,Cc1ccc2c(=O)c3c(CCCC3)[nH]c2c1,,,1.0,,,3.79,29.1,-4.45,4.11,1,1,213.1153641,0,,,Train,,,0000000000000000000000000000000000000000000000000000000000000000100000000000000000000000011000001100000110000010100001001000101010000000100000111010001101010001111110,,,,,,,,,,,,,0.801892876625061,1.0,0.629745662212372,1.0,0.633277535438538,1.0,,,,,,,Cc1ccc2c(=O)c3c([nH]c2c1)CCCC3,FWDFPYDVWVFYKM-UHFFFAOYSA-N,FWDFPYDVWVFYKM
3821,4227,Cc1c(Cc2ccccc2)c(=O)c2cc(Cl)ccc2n1C,,,1.0,,,5.04,20.31,-5.86,4.99,2,0,297.092041812,2,,,Train,,,0000000000000000000000000000000000000000000000000000000000000000100000000010000000001010000010001100001010110000100100001100101000000100100000111001110101110101111110,,,,,,,,,,,,,0.801892876625061,1.0,0.629745662212372,1.0,0.630459010601044,1.0,,,,,,,Cc1c(Cc2ccccc2)c(=O)c2cc(Cl)ccc2n1C,YBWUTNZSWUAIRB-UHFFFAOYSA-N,YBWUTNZSWUAIRB
3823,4229,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4CCCCc4nc4cc(Cl)ccc34)c2c1,,,1.0,,,6.84,79.04,-7.72,6.03,4,3,518.24485404,11,,,Train,,,0000000000000000000000000000000000000000000000000000000000000000100000000000000101100010011110010101001110100110100011011000111110111110110001111010001111111111111110,,,,,,,,,,,,,0.779701411724091,1.0,0.630260229110718,1.0,0.590731501579285,1.0,,,,,,,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c2c1,MQAYMGGTPIYIHD-UHFFFAOYSA-N,MQAYMGGTPIYIHD
3824,4230,O=C(O)CCCn1cc(C(=O)O)c(=O)c2c(/C=C/c3ccc(OCCCCOc4ccccc4)cc3)cccc21,,,1.0,,,3.56,113.37,-3.29,0.34,6,2,541.210052332,14,,,Train,,,0000000000000000000000000000000000000000000000000000000000000000100000000010000000001000111000001111000110001010100001001110111010110001111100111111010111111110111110,,,,,,,,,,,,,0.5,0.0,0.39174097776413,0.0,0.371683835983276,0.0,,,,,,,O=C(O)CCCn1cc(C(=O)O)c(=O)c2c(/C=C/c3ccc(OCCCCOc4ccccc4)cc3)cccc21,FKMWHFNAFDBNRL-DTQAZKPQSA-N,FKMWHFNAFDBNRL
3828,4234,COc1ccc(F)cc1CNCCCNc1ccnc2cc(Cc3cccc(C(F)(F)F)c3)ccc12,,,1.0,,,6.25,46.18,-4.19,4.28,4,2,497.209025364,10,,,Train,,,0000000000000000000000000000000000000000010000000000100000000000100000000000000101000110010010001101000111110011100001001000111110101110110001111010011110111101111110,,,,,,,,,,,,,0.799272358417511,1.0,0.629745662212372,1.0,0.630459010601044,1.0,,,,,,,COc1ccc(F)cc1CNCCCNc1ccnc2cc(Cc3cccc(C(F)(F)F)c3)ccc12,YYAAUSAAJVJTJS-UHFFFAOYSA-N,YYAAUSAAJVJTJS
3829,4235,CCCCCCOc1ccc(C(=O)CCN(C)C)cc1S(C)(=O)=O,,,1.0,,,3.3,72.06,-2.92,2.02,5,0,355.181729408,11,,,Train,,,0000000000000000000000000000000000000000000000000010001001111001001000001100000010001101100010001001010000011011111101000101011111010001010110110111110111101111111110,,,,,,,,,,,,,0.798005938529968,1.0,0.627626359462738,1.0,0.630459010601044,1.0,,,,,,,CCCCCCOc1ccc(C(=O)CCN(C)C)cc1S(C)(=O)=O,WPWOBDMYGVKGEJ-UHFFFAOYSA-N,WPWOBDMYGVKGEJ
