"ID"	"ParentSmiles"	"Status_Influx"	"Status_Efflux"	"Status_PAMPA"	"Status_BBB"	"Status_CNS"	"LogP"	"TPSA"	"LogS"	"LogD"	"HBA"	"HBD"	"MW"	"RotatableBonds"	"TestValTrain_Influx"	"TestValTrain_Efflux"	"TestValTrain_PAMPA"	"TestValTrain_BBB"	"TestValTrain_CNS"	"MACCS"	"Properties_PredictionScore_Influx"	"Properties_Prediction_Influx"	"MACCS_PredictionScore_Influx"	"MACCS_Prediction_Influx"	"Combined_PredictionScore_Influx"	"Combined_Prediction_Influx"	"Properties_PredictionScore_Efflux"	"Properties_Prediction_Efflux"	"MACCS_PredictionScore_Efflux"	"MACCS_Prediction_Efflux"	"Combined_PredictionScore_Efflux"	"Combined_Prediction_Efflux"	"Properties_PredictionScore_PAMPA"	"Properties_Prediction_PAMPA"	"MACCS_PredictionScore_PAMPA"	"MACCS_Prediction_PAMPA"	"Combined_PredictionScore_PAMPA"	"Combined_Prediction_PAMPA"	"Properties_PredictionScore_BBB"	"Properties_Prediction_BBB"	"MACCS_PredictionScore_BBB"	"MACCS_Prediction_BBB"	"Combined_PredictionScore_BBB"	"Combined_Prediction_BBB"
21	"CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C"	0	NA	NA	NA	NA	5.04	195.43	-6.4	4.21	13	3	913.555141588	6	"Train"	NA	NA	NA	NA	"0000000000000000000000000000000000000000000000000100000010000000000000010001000000001000111110101111000110010111001111011110011010110001101110101111110111111111101110"	0.22539684176445	0	0.382732510566711	0	0.358514338731766	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	"CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C"	0	NA	NA	NA	NA	5.35	204.66	-6.61	4.25	14	3	957.581356336	9	"Test"	NA	NA	NA	NA	"0000000000000000000000000000000000000000000000000100000010000000000000010001000001001000111110101111000110011111001111011110011110110001111110101111110111111111101110"	0.0421845242381096	0	0.289050489664078	0	0.125615060329437	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	"CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C"	1	NA	NA	NA	NA	0.88	89.05	-1.9	-0.61	4	1	396.197045124	3	"Train"	NA	NA	NA	NA	"0000000000000000000000000100000000000011000000010100001001011000011010001001000000000001001000010010010011010001001101000001011111010001001110101111110101001011001110"	0.585474252700806	1	0.360804289579391	0	0.443986117839813	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	"COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC"	1	NA	NA	NA	NA	3.09	146.13	-1.83	0.27	7	4	551.393436416	19	"Test"	NA	NA	NA	NA	"0000000000000000000000000000000000000000000000000000110000000000010000010100000101010100111110101001000100011111101111000000011110110001011111110110111111111111111110"	0.924122452735901	1	0.289050489664078	0	0.179461523890495	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	"Nc1nc(=O)c2c([nH]cc2CCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)[nH]1"	1	1	NA	NA	0	0.58	191.26	-1.43	-4.47	6	6	427.149183392	9	"Test"	"Train"	NA	NA	"Train"	"0000000000000000000000001000000000000100001000000000110000000000100000000000100100110000011100111100000111000110100011011010101000111011101101101110001001111110111110"	0.449428677558899	0	0.174285307526588	0	0.174285307526588	0	0.61799293756485	1	0.615593433380127	1	0.601105153560638	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	"CC(C)n1c(C=C[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21"	1	1	NA	NA	NA	3.65	82.69	-2.24	0.54	4	3	411.184586532	8	"Train"	"Val"	NA	NA	NA	"0000000000000000000000000000000000000000010000000000100000000100100000000110000000101010101000010010000110100000000000001110100000110100101100011101110101111111111110"	0.451476514339447	0	0.382732510566711	0	0.562176525592804	1	0.802771806716919	1	0.612098157405853	1	0.792567431926727	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	"COc1ccccc1Oc1c(OCCO)nc(-c2ncccn2)nc1NS(=O)(=O)c1ccc(C(C)(C)C)cc1"	1	NA	NA	NA	0	4.18	145.65	-3.54	1.53	10	2	551.183854648	10	"Train"	NA	NA	NA	"Val"	"0000000000000000000000000000000110000100000000000010001001111101111010011100101111000001000111101100010101001101100010011001111001111011111111111111111110111111111110"	0.206282451748848	0	0.450166016817093	0	0.357388705015182	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	"COc1cc2c(cc1OC)CN(c1nc(N3CCCN(C(=O)N4CC(O)C(O)C4)CC3)nc3cc(OC)c(OC)cc13)CC2"	1	NA	NA	NA	NA	1.88	133.19	-3.62	1.24	11	2	608.29584762	6	"Test"	NA	NA	NA	NA	"0000000000000000001000001000000000001100000000000000010000000100100000010010101100101100011010111101000111000110100011011100111110111010111111111111110111011111111110"	0.0775385126471519	0	0.159497484564781	0	0.125615060329437	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	"C[C@@H](Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3OCOc3c2)c(F)c1)C(=O)O"	1	1	NA	NA	NA	2.24	116.21	-0.4	-1.12	7	2	454.117629168	8	"Test"	"Val"	NA	NA	NA	"0000000000000000000000000001000000000000010000000000000010000000100000010000000101100010100100011101000010101100100010011010111000100101111101111100011111111111111110"	0.697465181350708	1	0.289050489664078	0	0.344327598810196	0	0.721390545368195	1	0.762091219425201	1	0.77946811914444	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	"Cc1ccccc1C(=O)N1CCC(=NOS(=O)(=O)O)c2ccc(Cl)cc21"	1	NA	NA	NA	NA	0.51	104.65	-1.05	-2.26	5	1	394.03902026	3	"Train"	NA	NA	NA	NA	"0000000000000000000000010000000000000011000000110000001001011000001010101010010100001011000101100101011011100111000010101101110001001111101101011111010011010111111110"	0.413214266300201	0	0.363455802202225	0	0.415115594863892	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	"Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1"	1	NA	NA	NA	NA	6.39	9.23	-8.34	6.59	1	0	481.715213212	2	"Train"	NA	NA	NA	NA	"0000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000100000000000111000000100000000111000010100001000011110"	0.505971729755402	1	0.363455802202225	0	0.462570160627365	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	"Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1"	1	NA	NA	NA	NA	6.78	9.23	-9.43	7.18	1	0	559.62572528	2	"Val"	NA	NA	NA	NA	"0000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000100000000000111000000100000000111000010100001000011110"	0.664002120494843	1	0.159497484564781	0	0.555328071117401	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	"Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br"	1	NA	NA	NA	NA	7.28	9.23	-10.55	7.77	1	0	637.536237348	2	"Train"	NA	NA	NA	NA	"0000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000100000000000111000000100000000111000010100001000011110"	0.492783963680267	0	0.3606316447258	0	0.462570160627365	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	"O=C(O)CCCC=CC[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc1ccccc1"	1	NA	NA	NA	NA	3.01	97.99	-0.3	0.14	4	4	390.240624188	12	"Train"	NA	NA	NA	NA	"0000000000000000000000000000000000000000000000000000100000000000000000000000000000000000111000010010000100000000000001000010001110110000001100100110010101101010011110"	0.492855399847031	0	0.382732510566711	0	0.523666501045227	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	"O=C(O)c1ccc(NC(=O)[C@H](CC2CCCC2)n2cnc(C(F)(F)F)c2)nc1"	1	NA	NA	NA	NA	3.16	97.11	-0.99	0.06	5	2	396.140925128	6	"Train"	NA	NA	NA	NA	"0000000000000000000000000000000000000100010000000000000000000000100000000010101000101000010100111100000001100111000011011110000110101111101001000111001001111110111110"	0.202391594648361	0	0.486367046833038	0	0.532879292964935	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C"	1	1	NA	NA	NA	0.61	92.21	-1.92	-1.44	4	2	376.134444868	2	"Val"	"Train"	NA	NA	NA	"0000000000000000100000000000000000000011000000010000001001011000011010001000000000000001011000010000010111010001101101000001011111110001001100111111010100001011011110"	0.533249139785767	1	0.159497484564781	0	0.344327598810196	0	0.784348726272583	1	0.555389702320099	1	0.601105153560638	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	"COCc1c(C(C)C)nc(C(C)C)c(C=C[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1"	1	NA	NA	NA	NA	3.78	99.88	-1.99	0.66	5	3	459.242101408	11	"Train"	NA	NA	NA	NA	"0000000000000000000000000000000000000000010000000000100000000100100000000100000000000110101010001110000100111000001000001010110000110100101110011100110111111011111110"	0.698302686214447	1	0.382732510566711	0	0.567762315273285	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	"CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1"	1	NA	NA	NA	NA	6.98	95.72	-5.95	4.94	4	2	585.210442692	12	"Train"	NA	NA	NA	NA	"0000000000000000000001000000000000000000000000000000000000000000110000000100000010000011001000000110001110110001000000001010100110110100101000011110110111111011111110"	0.297890394926071	0	0.443986117839813	0	0.359279036521912	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
