,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
2970,3343,CN1Cc2ccc(Cl)cc2C(c2cccc(S(=O)(=O)NCCP(=O)(O)O)c2)C1,,,0.0,,,0.94,125.13,-2.68,-2.01,4,3,444.067557114,6,,,Val,,,0000000000000000000000000000100110000000001000010010101001111101001010001010000011001111010011001101011111100011001010001101100001110101111101011111001010110111111110,,,,,,,,,,,,,0.0231647063046694,0.0,0.158869102597237,0.0,0.13965217769146,0.0,,,,,,,CN1Cc2ccc(Cl)cc2C(c2cccc(S(=O)(=O)NCCP(=O)(O)O)c2)C1,RPIMNEYMWDFWIC-UHFFFAOYSA-N,RPIMNEYMWDFWIC
2973,3347,Cc1cc(NC(=O)Nc2ccc(Cl)cc2)c2ccccc2n1,,,1.0,,,3.54,54.02,-6.1,4.14,2,2,311.082539748,2,,,Test,,,0000000000000000000000000000000000001000001000000000000000000000100000000000100100000010000000000100001011100100000010001000100000101110100001001000001001010101111110,,,,,,,,,,,,,0.837640702724457,1.0,0.686242043972015,1.0,0.723714590072632,1.0,,,,,,,Cc1cc(NC(=O)Nc2ccc(Cl)cc2)c2ccccc2n1,JQMQNDGGSXZDNL-UHFFFAOYSA-N,JQMQNDGGSXZDNL
2976,3351,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,,,1.0,,,5.42,31.78,-3.64,3.42,3,0,318.095747288,4,,,Test,,,0000000000000000000000000000000000010000000000000000000000100000000000000110000110001111000010000101001010110010001101011100100000000110110001011011100010110101111010,,,,,,,,,,,,,0.971289992332458,1.0,0.860689580440521,1.0,0.863333821296692,1.0,,,,,,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,ZPEIMTDSQAKGNT
2977,3352,COc1cccc(CNCCCNc2ccnc3cc(Oc4cccc(N(C)C)c4)ccc23)c1O,,,1.0,,,4.3,78.88,-2.37,2.71,7,3,472.247440884,11,,,Test,,,0000000000000000000000000000000000000000000000000000100000000000100000010100000101001100010010001101000110000010100001001100111110101010111011111111111110111111111110,,,,,,,,,,,,,0.93046623468399,1.0,0.852277636528015,1.0,0.863333821296692,1.0,,,,,,,COc1cccc(CNCCCNc2ccnc3cc(Oc4cccc(N(C)C)c4)ccc23)c1O,RDAPASJUMUKOPM-UHFFFAOYSA-N,RDAPASJUMUKOPM
2978,3353,O=S1(=N[C@H]2CC[C@@H](C(F)(F)F)CC2)CCCCC1,,,1.0,,,3.93,37.81,-4.23,2.89,2,0,283.12176992,1,,,Test,,,0000000000000000000000000000000110010000010000000010000001011000001000001000000000000101000001000100010001100011000011100001001111011100110000101011000010010100101110,,,,,,,,,,,,,0.976836860179901,1.0,0.860689580440521,1.0,0.863333821296692,1.0,,,,,,,O=S1(=N[C@H]2CC[C@@H](C(F)(F)F)CC2)CCCCC1,WDWSTAPQTHPMPP-PHIMTYICSA-N,WDWSTAPQTHPMPP
2979,3354,CC(=O)C1=CN(Cc2ccccc2C)C=CC1CC1Cc2cc3c(cc2C1=O)OCO3,,,1.0,,,4.04,55.84,-5.5,3.89,5,0,415.17835828,5,,,Test,,,0000000000000000000000000001000000000000000010000100000010000000000000010011000000101000000000011111000010011000100100011110101000000001110100111101110111101111111110,,,,,,,,,,,,,0.982873380184174,1.0,0.860689580440521,1.0,0.863333821296692,1.0,,,,,,,CC(=O)C1=CN(Cc2ccccc2C)C=CC1CC1Cc2cc3c(cc2C1=O)OCO3,HGNCFUVNDTUKIL-UHFFFAOYSA-N,HGNCFUVNDTUKIL
2980,3355,COc1ccc2c(=O)c(-c3ccccc3)c(C)[nH]c2c1,,,1.0,,,3.86,38.33,-4.77,4.32,2,1,265.11027872,2,,,Test,,,0000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000010001100000010000000100000001000111000000000100000111000111101011011111110,,,,,,,,,,,,,0.976836860179901,1.0,0.8179771900177,1.0,0.863333821296692,1.0,,,,,,,COc1ccc2c(=O)c(-c3ccccc3)c(C)[nH]c2c1,GBTMQRGRTKMDBB-UHFFFAOYSA-N,GBTMQRGRTKMDBB
2982,3357,CCCCC/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1,,,1.0,,,4.55,62.49,-5.93,4.7,5,0,353.156183356,7,,,Val,,,0000000000000000000000000000000110010100000000100000000000000100101000000010111110100001000011010001000001010010111101111101111010001010100001111011110110111101111110,,,,,,,,,,,,,0.630719125270844,1.0,0.825714707374573,1.0,0.863333821296692,1.0,,,,,,,CCCCC/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1,CMTXBSNLVNPASO-QZQOTICOSA-N,CMTXBSNLVNPASO
2984,3359,CCOC(=O)c1c(-c2cccc(Oc3ccccc3)c2)[nH]c2cc(OC)ccc2c1=O,,,1.0,,,5.09,73.86,-5.6,5.5,5,1,415.141972772,6,,,Test,,,0000000000000000000000000000000000000000000000000000000000000100100000000000000000000000100010001100000010001000110000001010111000000001100100111100111111111011111110,,,,,,,,,,,,,0.764117300510406,1.0,0.860689580440521,1.0,0.813146770000458,1.0,,,,,,,CCOC(=O)c1c(-c2cccc(Oc3ccccc3)c2)[nH]c2cc(OC)ccc2c1=O,PZODNGYXJBSPAW-UHFFFAOYSA-N,PZODNGYXJBSPAW
2985,3360,COc1ccc(F)cc1CNCCCNc1ccnc2cc(Cc3ccc4OCOc4c3)ccc12,,,1.0,,,4.93,64.64,-3.03,3.18,6,2,473.211469976,10,,,Test,,,0000000000000000000000000001000000000000010000000000100010000000100000010000000101100110010010011101000110111010100001011010111110101110110001111110011110111111111110,,,,,,,,,,,,,0.978403210639954,1.0,0.860689580440521,1.0,0.863333821296692,1.0,,,,,,,COc1ccc(F)cc1CNCCCNc1ccnc2cc(Cc3ccc4c(c3)OCO4)ccc12,BUKMKUURVFVYOO-UHFFFAOYSA-N,BUKMKUURVFVYOO
